Linux 3.10.0 (host-14187755e6af) 	12/23/2016 	_x86_64_	(32 CPU)

10:48:40 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:48:41 PM  all    7.78    0.06   13.69    0.03    0.00    0.13    0.00   54.05    0.03   24.23
10:48:42 PM  all   10.97    0.00   14.12    1.22    0.00    0.12    0.00   54.69    0.06   18.84
10:48:43 PM  all    8.16    0.03   14.72    2.44    0.00    0.12    0.00   53.94    0.06   20.53
10:48:44 PM  all    6.53    0.03   13.91    2.53    0.00    0.19    0.00   53.94    0.03   22.84
10:48:45 PM  all    8.41    0.00   13.72    0.56    0.00    0.22    0.00   54.64    0.03   22.41
10:48:46 PM  all    7.81    0.03   14.12    0.22    0.00    0.22    0.00   53.92    0.03   23.65
10:48:47 PM  all    8.97    0.06   14.12    0.09    0.00    0.16    0.00   54.61    0.00   21.99
10:48:48 PM  all    8.82    0.00   14.19    0.06    0.00    0.19    0.00   54.02    0.06   22.69
10:48:49 PM  all    7.75    0.00   13.00    0.41    0.00    0.09    0.00   54.16    0.38   24.22
10:48:50 PM  all    8.07    0.03   13.88    0.13    0.00    0.16    0.00   54.33    0.22   23.19
10:48:51 PM  all    6.84    0.00   13.46    0.12    0.00    0.25    0.00   53.94    0.19   25.20
10:48:52 PM  all    8.41    0.03   15.03    0.16    0.00    0.12    0.00   53.75    0.19   22.31
10:48:53 PM  all    7.28    0.00   13.22    0.19    0.00    0.16    0.00   54.45    0.28   24.41
10:48:54 PM  all    7.15    0.00   14.03    0.00    0.00    0.19    0.00   53.95    0.06   24.62
10:48:55 PM  all    8.41    0.00   13.63    0.25    0.00    0.13    0.00   54.25    0.03   23.30
10:48:56 PM  all    9.03    0.03   14.21    0.09    0.00    0.12    0.00   54.30    0.03   22.18
10:48:57 PM  all    8.38    0.00   14.00    0.19    0.00    0.19    0.00   53.87    0.06   23.34
10:48:58 PM  all    8.41    0.06   13.97    0.09    0.00    0.13    0.00   54.20    0.00   23.13
10:48:59 PM  all    7.18    0.03   14.39    0.09    0.00    0.22    0.00   54.14    0.06   23.88
10:49:00 PM  all    8.48    0.00   13.04    0.13    0.00    0.09    0.00   54.11    0.00   24.15
10:49:01 PM  all    8.15    0.03   12.90    0.06    0.00    0.09    0.00   54.25    0.03   24.48
10:49:02 PM  all   14.50    0.00   14.16    0.22    0.00    0.19    0.00   55.05    0.03   15.85
10:49:03 PM  all   10.56    0.03   16.05    0.19    0.00    0.19    0.00   53.97    0.03   18.99
10:49:04 PM  all   17.82    0.03   15.00    0.03    0.00    0.06    0.00   54.27    0.06   12.72
10:49:05 PM  all   17.22    0.03   17.66    0.06    0.00    0.22    0.00   55.78    0.03    9.00
10:49:06 PM  all   17.57    0.00   15.79    0.09    0.00    0.16    0.00   55.17    0.06   11.19
10:49:07 PM  all   11.28    0.03   16.35    0.13    0.00    0.16    0.00   54.55    0.00   17.51
10:49:08 PM  all    9.84    0.03   15.00    0.22    0.00    0.16    0.00   53.86    0.03   20.87
10:49:09 PM  all   10.18    0.00   14.87    0.09    0.00    0.16    0.00   53.98    0.06   20.65
10:49:10 PM  all    8.19    0.03   14.91    0.12    0.00    0.16    0.00   53.47    0.06   23.06
10:49:11 PM  all    8.22    0.03   15.72    0.09    0.00    0.16    0.00   54.03    0.00   21.75
10:49:12 PM  all   12.50    0.00   17.00    1.22    0.00    0.19    0.00   55.28    0.03   13.78
10:49:13 PM  all    8.88    0.00   17.72    1.53    0.00    0.16    0.00   55.45    0.03   16.22
10:49:14 PM  all    8.56    0.03   16.87    2.31    0.00    0.12    0.00   54.26    0.03   17.81
10:49:15 PM  all    9.03    0.00   15.84    0.28    0.00    0.12    0.00   55.09    0.06   19.56
10:49:16 PM  all    8.60    0.00   14.75    0.06    0.00    0.19    0.00   54.64    0.06   21.69
10:49:17 PM  all    8.93    0.00   13.56    0.28    0.00    0.22    0.00   54.61    0.03   22.37
10:49:18 PM  all    8.82    0.00   13.44    0.16    0.00    0.31    0.00   54.39    0.06   22.82
10:49:19 PM  all    7.62    0.00   13.78    0.03    0.00    0.16    0.00   53.84    0.06   24.50
10:49:20 PM  all    8.19    0.00   13.28    0.19    0.00    0.12    0.00   53.91    0.03   24.28
10:49:21 PM  all    9.56    0.03   13.62    0.16    0.00    0.09    0.00   54.73    0.00   21.81
10:49:22 PM  all    8.22    0.00   13.60    0.06    0.00    0.16    0.00   54.80    0.03   23.13
10:49:23 PM  all    7.44    0.00   14.37    0.19    0.00    0.25    0.00   53.45    0.03   24.27
10:49:24 PM  all    7.28    0.00   13.88    0.06    0.00    0.16    0.00   53.75    0.06   24.81
10:49:25 PM  all    8.28    0.03   13.22    0.16    0.00    0.09    0.00   54.19    0.03   24.00
10:49:26 PM  all    9.57    0.00   14.13    0.09    0.00    0.13    0.00   54.20    0.06   21.82
10:49:27 PM  all    8.41    0.00   13.69    0.12    0.00    0.12    0.00   54.31    0.03   23.31
10:49:28 PM  all    7.72    0.06   13.50    0.12    0.00    0.31    0.00   54.50    0.06   23.72
10:49:29 PM  all    7.25    0.00   14.56    0.22    0.00    0.16    0.00   54.28    0.06   23.47
10:49:30 PM  all    9.47    0.03   15.43    0.22    0.00    0.16    0.00   54.64    0.03   20.02
10:49:31 PM  all    8.62    0.06   16.87    0.06    0.00    0.28    0.00   53.61    0.06   20.43
10:49:32 PM  all    9.41    0.00   14.85    0.31    0.00    0.09    0.00   54.00    0.00   21.33
10:49:33 PM  all    6.69    0.03   13.43    0.19    0.00    0.12    0.00   54.45    0.03   25.05
10:49:34 PM  all    7.54    0.00   13.76    0.19    0.00    0.19    0.00   54.10    0.09   24.14
10:49:35 PM  all    8.65    0.03   13.77    0.31    0.00    0.09    0.00   53.90    0.09   23.14
10:49:36 PM  all    7.25    0.00   13.75    0.22    0.00    0.16    0.00   53.94    0.09   24.59
10:49:37 PM  all    6.91    0.00   13.44    0.09    0.00    0.16    0.00   53.81    0.03   25.56
10:49:38 PM  all    8.16    0.03   14.32    0.06    0.00    0.09    0.00   53.42    0.09   23.82
10:49:39 PM  all    8.87    0.00   13.59    0.09    0.00    0.12    0.00   54.23    0.03   23.06
10:49:40 PM  all    6.44    0.00   14.22    0.22    0.00    0.19    0.00   53.62    0.06   25.25
10:49:41 PM  all    7.66    0.00   14.12    0.25    0.00    0.12    0.00   54.66    0.03   23.16
10:49:42 PM  all    9.94    0.03   14.69    1.28    0.00    0.22    0.00   54.44    0.03   19.38
10:49:43 PM  all    7.50    0.03   13.53    2.25    0.00    0.19    0.00   54.12    0.09   22.28
10:49:44 PM  all    6.75    0.03   14.62    2.09    0.00    0.16    0.00   53.53    0.06   22.75
10:49:45 PM  all    8.13    0.03   15.00    0.22    0.00    0.09    0.00   53.86    0.03   22.63
10:49:46 PM  all    6.84    0.03   13.44    0.09    0.00    0.19    0.00   53.94    0.06   25.41
10:49:47 PM  all    9.25    0.00   15.22    1.47    0.00    0.19    0.00   53.31    0.03   20.53
10:49:48 PM  all    9.09    0.03   14.62    3.72    0.00    0.09    0.00   53.25    0.00   19.19
10:49:49 PM  all    7.62    0.00   13.84    2.22    0.00    0.06    0.00   54.39    0.09   21.77
10:49:50 PM  all    7.84    0.00   14.03    0.69    0.00    0.16    0.00   53.87    0.03   23.38
10:49:51 PM  all    7.94    0.00   14.47    0.16    0.00    0.16    0.00   53.89    0.03   23.35
10:49:52 PM  all    8.47    0.03   14.06    0.12    0.00    0.12    0.00   53.86    0.03   23.31
10:49:53 PM  all    8.00    0.03   14.07    0.25    0.00    0.13    0.00   53.55    0.03   23.94
10:49:54 PM  all    6.81    0.03   14.34    0.06    0.00    0.12    0.00   53.55    0.06   25.02
10:49:55 PM  all    8.16    0.00   13.00    0.13    0.00    0.25    0.00   54.17    0.38   23.91
10:49:56 PM  all    9.37    0.03   14.46    0.56    0.00    0.16    0.00   54.51    0.25   20.65
