student_number	student_score
03051001	63
03051002	64
03051003	64
03051004	65
03051005	68
03051006	69
03051007	69
03051008	70
03051009	70
03051010	72
03051011	72
03051012	73
03051013	74
03051014	74
03051015	74
03051016	75
03051017	76
03051018	76
03051019	76
03051020	77
03051021	78
03051022	78
03051023	79
03051024	80
03051025	80
03051026	80
03051027	80
03051028	83
03051029	84
03051030	84
03051031	85
03051032	85
03051033	87
03051034	60
03051035	65
03051036	65
03051037	67
03051038	69
03051039	70
03051040	70
03051041	72
03051042	73
03051043	73
03051044	74
03051045	74
03051046	74
03051047	75
03051048	75
03051049	76
03051050	77
03051051	77
03051052	78
03051053	78
03051054	78
03051055	79
03051056	80
03051057	80
03051058	80
03051059	80
03051060	81
03051061	81
03051062	82
03051063	82
03051064	82
03051065	82
03051066	82
03051067	83
03051068	83
03051069	84
03051070	84
03051071	88
03051072	91
03051073	23
03051074	31
03051075	42
03051076	44
03051077	52
03051078	53
03051079	60
03051080	60
03051081	61
03051082	61
03051083	63
03051084	63
03051085	63
03051086	64
03051087	65
03051088	66
03051089	66
03051090	67
03051091	67
03051092	68
03051093	69
03051094	69
03051095	70
03051096	70
03051097	70
03051098	72
03051099	72
03051100	74
03051101	74
03051102	74
03051103	75
03051104	75
03051105	77
03051106	79
03051107	80
03051108	80
