"订单编号","标题","价格","购买数量","外部系统编号","商品属性","套餐信息","备注","订单状态","商家编码"
="377327715282670069","美逸/MEIYI黑金刚快充电宝20000M毫安大容量移动电源Type-C手机PD","109.00","1","32833478149","颜色分类：GT20白骑士[QC3.0快充]","null","null","卖家已发货，等待买家确认","32833478149"
="375620608223283050","美逸/MEIYI黑金刚快充电宝20000M毫安大容量移动电源Type-C手机PD","109.00","1","32833478149","颜色分类：GT20白骑士[QC3.0快充]","null","null","卖家已发货，等待买家确认","32833478149"
="376095651081422753","美逸/MEIYI苹果数据线iPhoneXPlus充电器ios手机平板ipad2M快充短","19.80","1","null","长度：2m;颜色分类：安卓micro天空蓝[【2m】提速70%]","null","null","卖家已发货，等待买家确认","null"
="374826336654885041","美逸/MEIYI苹果数据线iPhoneXPlus充电器ios手机平板ipad2M快充短","19.80","2","null","长度：2m;颜色分类：安卓micro樱花粉[【2m】提速70%]","null","安卓通用2米长的粉色、金色的各一条！苹果送的粉色的一条","交易成功","null"
="268986983628615396","美逸/MEIYI苹果数据线iPhoneXPlus充电器ios手机平板ipad2M快充短","19.80","1","null","长度：2m;颜色分类：安卓micro樱花粉[【2m】提速70%]","null","null","卖家已发货，等待买家确认","null"
="374580513699519370","美逸/MEIYI充电宝20000M毫安大容量快充便携移动电源Type-C手机PD","109.00","1","32833478149","颜色分类：GT20白骑士[QC3.0快充]","null","null","卖家已发货，等待买家确认","32833478149"
="374186208336834750","美逸/MEIYI苹果数据线iPhoneXPlus充电器ios手机平板ipad2M快充短","19.80","1","null","长度：2m;颜色分类：安卓micro樱花粉[【2m】提速70%]","null","null","卖家已发货，等待买家确认","null"
="374186208336834750","美逸/MEIYI苹果数据线iPhoneXPlus充电器ios手机平板ipad2M快充短","19.80","1","null","长度：2m;颜色分类：苹果ios金橙黄[【1m】提速70%]","null","null","卖家已发货，等待买家确认","null"
="373701987129154728","美逸/MEIYI充电宝20000M毫安大容量快充便携移动电源Type-C手机PD","109.00","1","32833478149","颜色分类：GT20白骑士[QC3.0快充]","null","null","卖家已发货，等待买家确认","32833478149"
="373483715076752059","美逸大容量手机充电宝30000毫安聚合物电芯数显移动电源多USB口通","99.00","1","4208837","颜色分类：乳白色","null","null","卖家已发货，等待买家确认","4208837"
="372303616851928669","美逸/MEIYI苹果数据线iPhoneXPlus充电器ios手机平板ipad2M快充短","19.80","1","null","长度：2m;颜色分类：苹果ios樱花粉[【1m】提速70%]","null","null","交易成功","null"
="372844482437807784","美逸/MEIYI苹果数据线iPhoneXPlus充电器ios手机平板ipad2M快充短","19.80","1","null","长度：2m;颜色分类：安卓micro樱花粉[【2m】提速70%]","null","null","卖家已发货，等待买家确认","null"
="372643489199932316","美逸/MEIYI苹果数据线iPhoneXPlus充电器ios手机平板ipad2M快充短","19.80","1","null","长度：1m;颜色分类：苹果ios樱花粉[【1m】提速70%]","null","null","卖家已发货，等待买家确认","null"
="372295840923787880","美逸/MEIYI苹果数据线iPhoneXPlus充电器ios手机平板ipad2M快充短","19.80","1","null","长度：2m;颜色分类：安卓micro玫瑰金[【1m】提速50%]","null","null","卖家已发货，等待买家确认","null"
="373097891053336314","美逸/MEIYI苹果数据线iPhoneXPlus充电器ios手机平板ipad2M快充短","19.80","1","null","长度：2m;颜色分类：苹果ios樱花粉[【1m】提速70%]","null","null","交易成功","null"
="280733645133056208","美逸/MEIYI苹果数据线iPhoneXPlus充电器ios手机平板ipad2M快充短","19.80","1","null","长度：2m;颜色分类：苹果ios樱花粉[【1m】提速70%]","null","null","卖家已发货，等待买家确认","null"
="268508646730527999","美逸/MEIYI苹果数据线iPhoneXPlus充电器ios手机平板ipad2M快充短","19.80","1","null","长度：2m;颜色分类：苹果ios岩石灰[【1m】提速70%]","null","null","卖家已发货，等待买家确认","null"
="373091491312892165","美逸/MEIYI苹果数据线iPhoneXPlus充电器ios手机平板ipad2M快充短","19.80","1","null","长度：2m;颜色分类：苹果ios樱花粉[【1m】提速70%]","null","null","卖家已发货，等待买家确认","null"
="372604577949487818","美逸/MEIYI苹果数据线iPhoneXPlus充电器ios手机平板ipad2M快充短","19.80","1","null","长度：2m;颜色分类：苹果ios樱花粉[【1m】提速70%]","null","null","卖家已发货，等待买家确认","null"
="373069251224022843","美逸/MEIYI苹果数据线iPhoneXPlus充电器ios手机平板ipad2M快充短","19.80","1","null","长度：2m;颜色分类：安卓micro天空蓝[【2m】提速70%]","null","null","艏乙逊⒒酰却蚣胰啡�","null"
="268219461695733294","美逸大容量手机充电宝30000毫安聚合物电芯数显移动电源多USB口通","99.00","1","4208837","颜色分类：乳白色","null","null","卖家已发货，等待买家确认","4208837"
="371002080153140420","美逸/MEIYI苹果数据线iPhoneXPlus充电器ios手机平板ipad2M快充短","20.00","2","null","长度：1m;颜色分类：苹果ios樱花粉[【1m】提速70%]","null","null","交易成功","null"
="268486567261716287","美逸/MEIYI苹果数据线iPhoneXPlus充电器ios手机平板ipad2M快充短","20.00","2","null","长度：1m;颜色分类：苹果ios樱花粉[【1m】提速70%]","null","null","交易成功","null"
="371503426903636972","美逸/MEIYI苹果数据线iPhoneXPlus充电器ios手机平板ipad2M快充短","20.00","2","null","长度：1m;颜色分类：安卓micro樱花粉[【2m】提速70%]","null","null","交易成功","null"
="371494050246857136","美逸/MEIYI苹果数据线iPhoneXPlus充电器ios手机平板ipad2M快充短","20.00","2","null","长度：1m;颜色分类：苹果ios樱花粉[【1m】提速70%]","null","null","卖家已发货，等待买家确认","null"
="370944256365718652","美逸/MEIYI苹果数据线iPhoneXPlus充电器ios手机平板ipad2M快充短","20.00","2","null","长度：2m;颜色分类：苹果ios樱花粉[【1m】提速70%]","null","null","交易成功","null"
="370072257898479081","美逸大容量手机充电宝30000毫安聚合物电芯数显移动电源多USB口通","129.00","1","100001267323","颜色分类：白色","null","null","卖家已发货，等待买家确认","100001267323"
="369371424909640714","美逸苹果6s六数据线iPhone7px8Plus安卓手机平板ipad2快充线2米短","25.00","1","null","长度：0.5m;颜色分类：苹果ios湖水绿[【1m】提速70%]","null","null","交易成功","null"
="369361120110063442","美逸苹果6s六数据线iPhone7px8Plus安卓手机平板ipad2快充线2米短","25.00","1","null","长度：2m;颜色分类：苹果ios樱花粉[【1m】提速70%]","null","null","交易成功","null"
="370166979176275477","美逸苹果6s六数据线iPhone7px8Plus安卓手机平板ipad2快充线2米短","25.00","1","null","长度：2m;颜色分类：安卓micro樱花粉[【2m】提速70%]","null","null","交易成功","null"
="369900354758030977","美逸苹果6s六数据线iPhone7px8Plus安卓手机平板ipad2快充线2米短","25.00","1","null","长度：1.5m;颜色分类：苹果ios樱花粉[【1m】提速70%]","null","null","交易成功","null"
="280475022384452010","美逸苹果6s六数据线iPhone7px8Plus安卓手机平板ipad2快充线2米短","25.00","1","null","长度：1.5m;颜色分类：安卓micro樱花粉[【2m】提速70%]","null","null","交易成功","null"
="369820642293136954","美逸苹果6s六数据线iPhone7px8Plus安卓手机平板ipad2快充线2米短","25.00","1","null","长度：2m;颜色分类：苹果ios樱花粉[【1m】提速70%]","null","null","卖家已发货，等待买家确认","null"
="370067171766946770","美逸苹果6s六数据线iPhone7px8Plus安卓手机平板ipad2快充线2米短","25.00","1","null","长度：1.5m;颜色分类：安卓type-c钛空灰[【1m】提速50%]","null","null","卖家已发货，等待买家确认","null"
="369555553048015676","美逸苹果6s六数据线iPhone7px8Plus安卓手机平板ipad2快充线2米短","25.00","1","null","长度：1.5m;颜色分类：安卓type-c钛空灰[【1m】提速50%]","null","null","交易成功","null"
="369174112560842141","美逸苹果6s六数据线iPhone7px8Plus安卓手机平板ipad2快充线2米短","25.00","1","null","长度：1.5m;颜色分类：苹果ios樱花粉[【1m】提速70%]","null","null","交易成功","null"
="369151808735474644","美逸苹果6s六数据线iPhone7px8Plus安卓手机平板ipad2快充线2米短","25.00","1","null","长度：1.5m;颜色分类：安卓micro樱花粉[【2m】提速70%]","null","null","交易成功","null"
="369681026917894722","美逸苹果6s六数据线iPhone7px8Plus安卓手机平板ipad2快充线2米短","25.00","1","null","长度：0.5m;颜色分类：苹果ios樱花粉[【1m】提速70%]","null","null","交易成功","null"
="369015617983684149","美逸20000毫安充电宝双向快充移动电源LED数显屏高通认证QC3.0/PD","135.00","1","32833478149","颜色分类：黑色[GT20黑金刚]","null","null","交易成功","32833478149"
="267657253980615396","美逸苹果6s六数据线iPhone7px8Plus安卓手机平板ipad2快充线2米短","25.00","1","null","长度：2m;颜色分类：安卓micro樱花粉[【2m】提速70%]","null","null","交易成功","null"
="368039553214240918","美逸20000毫安充电宝双向快充移动电源LED数显屏高通认证QC3.0/PD","109.00","1","32789142913","颜色分类：白色[GT20白骑士]","null","null","交易成功","32789142913"
="367690467260469232","美逸20000毫安充电宝双向快充移动电源LED数显屏高通认证QC3.0/PD","99.00","1","4208837","颜色分类：乳白色[GT20原色]","null","null","交易成功","4208837"
="366613664732357684","美逸20000毫安充电宝双向快充移动电源LED数显屏高通认证QC3.0/PD","99.00","1","4208837","颜色分类：乳白色[GT20原色]","null","null","交易成功","4208837"
="366231680838323167","美逸20000毫安充电宝双向快充移动电源LED数显屏高通认证QC3.0/PD","135.00","1","32833478149","颜色分类：黑色[GT20黑金刚]","null","null","卖家已发货，等待买家确认","32833478149"
="366751395484452541","美逸苹果6s六数据线iPhone7px8Plus安卓手机平板ipad2快充线2米短","25.00","2","null","长度：1m;颜色分类：安卓micro樱花粉[【2m】提速70%]","null","null","交易成功","null"
="279686157392149108","美逸20000毫安充电宝双向快充移动电源LED数显屏高通认证QC3.0/PD","99.00","1","4208837","颜色分类：乳白色[GT20原色]","null","null","卖家已发货，等待买家确认","4208837"
="364999521977758983","美逸苹果6s六数据线iPhone7px8Plus安卓手机平板ipad2快充线2米短","25.00","2","null","长度：2m;颜色分类：苹果ios金橙黄[【1m】提速70%]","null","null","交易成功","null"
="364916065257012474","美逸20000毫安充电宝双向快充移动电源LED数显屏高通认证QC3.0/PD","135.00","1","32833478149","颜色分类：黑色[GT20黑金刚]","null","null","卖家已发货，等待买家确认","32833478149"
="365049826151474675","美逸苹果6s六数据线iPhone7px8Plus安卓手机平板ipad2快充线2米短","25.00","2","null","长度：1m;颜色分类：安卓micro钛空灰[【1m】提速50%]","null","null","交易成功","null"
="266988420895828698","美逸苹果6s六数据线iPhone7px8Plus安卓手机平板ipad2快充线2米短","25.00","1","null","长度：2m;颜色分类：安卓micro金橙黄[【2m】提速70%]","null","null","交易成功","null"
="266988420895828698","美逸苹果6s六数据线iPhone7px8Plus安卓手机平板ipad2快充线2米短","25.00","1","null","长度：2m;颜色分类：安卓micro樱花粉[【2m】提速70%]","null","null","交易成功","null"
="364435394236239782","美逸苹果6s六数据线iPhone7px8Plus安卓手机平板ipad2快充线2米短","25.00","1","null","长度：2m;颜色分类：安卓micro樱花粉[【2m】提速70%]","null","null","交易成功","null"
="267257382822988393","美逸20000毫安充电宝双向快充移动电源LED数显屏高通认证QC3.0/PD","109.00","1","32789142913","颜色分类：白色[GT20白骑士]","null","null","卖家已发货，等待买家确认","32789142913"
="279815023426114202","美逸苹果6s六数据线iPhone7px8Plus安卓手机平板ipad2快充线2米短","25.00","1","null","长度：2m;颜色分类：苹果ios樱花粉[【1m】提速70%]","null","null","交易成功","null"
="279815023426114202","美逸苹果6s六数据线iPhone7px8Plus安卓手机平板ipad2快充线2米短","25.00","1","null","长度：2m;颜色分类：安卓micro樱花粉[【2m】提速70%]","null","null","交易成功","null"
="279557614551791812","美逸20000毫安充电宝双向快充移动电源LED数显屏高通认证QC3.0/PD","109.00","1","32789142913","颜色分类：白色[GT20白骑士]","null","null","交易成功","32789142913"
="363802976086742976","美逸苹果6s六数据线iPhone7px8Plus安卓手机平板ipad2快充线2米短","25.00","1","null","长度：0.5m;颜色分类：苹果ios湖水绿[【1m】提速70%]","null","null","交易成功","null"
="364527203617923213","美逸苹果6s六数据线iPhone7px8Plus安卓手机平板ipad2快充线2米短","25.00","2","null","长度：2m;颜色分类：苹果ios玫瑰金[【0.5m】提速50%]","null","null","交易成功","null"
="364513027599541827","美逸苹果6s六数据线iPhone7px8Plus安卓手机平板ipad2快充线2米短","25.00","1","null","长度：2m;颜色分类：苹果ios樱花粉[【1m】提速70%]","null","null","交易成功","null"
="266959396617581791","美逸苹果6s六数据线iPhone7px8Plus安卓手机平板ipad2快充线2米短","25.00","2","null","长度：0.5m;颜色分类：安卓micro土豪金[【1m】提速50%]","null","null","交易成功","null"
="266959396617581791","美逸苹果6s六数据线iPhone7px8Plus安卓手机平板ipad2快充线2米短","25.00","2","null","长度：0.5m;颜色分类：安卓micro玫瑰金[【1m】提速50%]","null","null","交易成功","null"
="362334049433039884","美逸20000毫安充电宝双向快充移动电源LED数显屏高通认证QC3.0/PD","109.00","1","32789142913","颜色分类：白色[GT20白骑士]","null","null","交易关闭","32789142913"
="362541379525219646","美逸20000毫安充电宝双向快充移动电源LED数显屏高通认证QC3.0/PD","109.00","1","32789142913","颜色分类：白色[GT20白骑士]","null","null","交易成功","32789142913"
