序号,单位名称,类别,地址,辖区,评级时间,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,加福投资（深圳）有限公司福朋喜来登酒店（聚味轩中餐厅）,其他餐饮,深圳市福田区福田保税区桂花路5号4-5层,福田区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,加福投资(深圳)有限公司福朋喜来登酒店(泛亚风情餐厅),其他餐饮,深圳市福田区福田保税区桂花路5号二层,福田区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,加福投资(深圳)有限公司福朋喜来登酒店(A座酒店行政酒廊),其他餐饮,深圳市福田区福田保税区桂花路5号加福广场A座23层部分,福田区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,加福投资(深圳)有限公司福朋喜来登酒店(宴会厅),其他餐饮,深圳市福田区福田保税区桂花路5号三层,福田区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,加福投资(深圳)有限公司福朋喜来登酒店(桂花西餐厅),其他餐饮,深圳市福田区福田保税区桂花路5号四层,福田区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,加福投资（深圳）有限公司福朋喜来登酒店（大堂吧）,其他餐饮,深圳市福田区福田保税区桂花路5号一层,福田区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,加福投资（深圳）有限公司福朋喜来登酒店（职工食堂）,机关企事业单位食堂,深圳市福田区福田保税区桂花路5号地下三层,福田区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,深圳市元绿迴转寿司饮食有限公司（怡景中心城分店）,连锁餐饮,深圳市福田区福华路大中华交易广场西侧怡景中心城G层FG004号铺,福田区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,深圳好日子酒店有限公司餐饮部,其他餐饮,深圳市福田区福华一路特美思广场1-2楼,福田区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,阿里郎饮食(深圳)有限公司韩国料理,其他餐饮,深圳市福田区福明路40号雷圳大厦二楼,福田区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,春满园饮食管理服务（深圳）有限公司时代店,连锁餐饮,深圳市福田区金田路宣嘉华庭商场裙楼3层,福田区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,金皇廷饮食（深圳）有限公司中餐厅,其他餐饮,深圳市福田区金田路与福华路交汇处金中环商务大厦裙楼第五层,福田区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,百胜餐饮（广东）有限公司(深圳必胜客中心城餐厅),连锁餐饮,深圳市福田区福华路大中华交易广场西侧怡景中心城G层、UG层部分,福田区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,深圳大中华喜来登酒店有限公司（全日餐厅）,其他餐饮,深圳市福田区福华路与金田路交汇处深圳国际交易广场负三层部分、一层,福田区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
