[*] 股票代码: hs_002076,  当前价为: 3.64, 最高价为: 4.66, 最低价为: 2.32
[*] 股票代码: hs_000712,  当前价为: 9.49, 最高价为: 11.79, 最低价为: 7.22
[*] 股票代码: hs_600352,  当前价为: 9.28, 最高价为: 9.82, 最低价为: 7.96
[*] 股票代码: hs_300603,  当前价为: 23.57, 最高价为: 30.01, 最低价为: 19.66
[*] 股票代码: hs_600083,  当前价为: 17.38, 最高价为: 19.99, 最低价为: 12.80
[*] 股票代码: hs_603188,  当前价为: 7.71, 最高价为: 10.10, 最低价为: 7.26
[*] 股票代码: hs_000766,  当前价为: 8.80, 最高价为: 9.30, 最低价为: 7.15
[*] 股票代码: hs_002910,  当前价为: 12.66, 最高价为: 16.83, 最低价为: 12.16
[*] 股票代码: hs_300063,  当前价为: 3.46, 最高价为: 4.31, 最低价为: 2.64
[*] 股票代码: hs_002604,  当前价为: 1.96, 最高价为: 2.23, 最低价为: 1.39
[*] 股票代码: hs_603706,  当前价为: 28.43, 最高价为: 37.25, 最低价为: 25.70
[*] 股票代码: hs_601038,  当前价为: 4.99, 最高价为: 6.03, 最低价为: 4.11
[*] 股票代码: hs_603996,  当前价为: 7.80, 最高价为: 10.30, 最低价为: 6.72
[*] 股票代码: hs_002433,  当前价为: 4.79, 最高价为: 5.67, 最低价为: 4.06
[*] 股票代码: hs_600526,  当前价为: 4.69, 最高价为: 5.58, 最低价为: 4.04
[*] 股票代码: hs_601088,  当前价为: 19.08, 最高价为: 21.17, 最低价为: 18.37
[*] 股票代码: hs_600689,  当前价为: 10.13, 最高价为: 14.96, 最低价为: 6.60
[*] 股票代码: hs_601069,  当前价为: 15.43, 最高价为: 17.29, 最低价为: 14.73
[*] 股票代码: hs_300111,  当前价为: 2.12, 最高价为: 2.99, 最低价为: 1.85
[*] 股票代码: hs_600651,  当前价为: 3.40, 最高价为: 4.18, 最低价为: 2.97
[*] 股票代码: hs_600803,  当前价为: 10.25, 最高价为: 15.40, 最低价为: 10.19
[*] 股票代码: hs_002501,  当前价为: 3.11, 最高价为: 4.06, 最低价为: 2.80
[*] 股票代码: hs_600516,  当前价为: 18.19, 最高价为: 22.83, 最低价为: 17.61
[*] 股票代码: hs_600259,  当前价为: 23.24, 最高价为: 28.40, 最低价为: 21.40
[*] 股票代码: hs_603366,  当前价为: 4.63, 最高价为: 5.54, 最低价为: 3.12
[*] 股票代码: hs_300152,  当前价为: 3.16, 最高价为: 3.48, 最低价为: 2.03
[*] 股票代码: hs_603993,  当前价为: 4.15, 最高价为: 4.72, 最低价为: 3.44
[*] 股票代码: hs_600031,  当前价为: 8.60, 最高价为: 9.01, 最低价为: 7.46
[*] 股票代码: hs_600418,  当前价为: 4.92, 最高价为: 5.64, 最低价为: 4.14
[*] 股票代码: hs_600466,  当前价为: 5.53, 最高价为: 5.95, 最低价为: 4.03
